Rk,School,Conf,AP Rank,W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,South Carolina,SEC,1,36,0,80.5,51.1,29.47,15.23,22.58,22.12,44.7,119.83,58.72,61.11
2,Louisiana State,SEC,9,32,2,81.8,56.7,25.09,9.61,21.49,13.2,34.69,113.02,67.63,45.4
3,Connecticut,Big East,7,31,6,75.9,58.8,17.08,17,19.27,14.82,34.08,113.12,66.96,46.16
4,Stanford,Pac-12,5,29,6,76.1,58.2,17.91,16.03,18.57,15.37,33.94,115.98,69.33,46.65
5,Indiana,Big Ten,3,28,4,80.9,62.1,18.84,14.69,21,12.53,33.53,115.93,71.21,44.72
6,Iowa,Big Ten,2,30,6,87.6,70.9,16.72,16.55,28.77,4.5,33.27,119.93,76.92,43
7,Utah,Pac-12,8,27,5,82.8,66,16.84,13.39,24.7,5.53,30.23,117.25,77.6,39.65
8,Notre Dame,ACC,11,27,6,73.9,58.9,14.97,14.71,14.78,14.9,29.68,107.35,68.2,39.15
9,Texas,Big 12,15,26,10,72.9,57.4,15.42,14.19,14.09,15.52,29.61,107.62,68.28,39.35
10,Virginia Tech,ACC,4,31,4,72.4,57.1,15.29,13.89,14.64,14.53,29.17,112.66,72.37,40.3
11,Tennessee,SEC,23,25,12,77.1,65.9,11.14,17.54,19.42,9.26,28.68,110.57,72.68,37.89
12,Maryland,Big Ten,6,28,7,79.1,68.7,10.4,18.16,20.44,8.12,28.56,111.42,74.03,37.39
13,Duke,ACC,13,26,7,63.6,51,12.58,15.27,6.13,21.72,27.85,99.66,61.78,37.88
14,Iowa State,Big 12,,22,10,75.4,64.6,10.81,16.51,16.26,11.06,27.32,109.8,73.38,36.42
15,Ohio State,Big Ten,12,28,8,80.1,68.4,11.61,15.33,20.11,6.83,26.94,109.14,74.64,34.5
16,Oregon,Pac-12,,20,15,74.4,63.3,11.03,14.77,16.71,9.09,25.8,110.69,75.68,35.01
17,Florida State,ACC,,23,10,79.3,66.9,12.36,12.72,21.27,3.82,25.09,106.75,75.13,31.63
18,Louisville,ACC,,26,12,73.3,64.2,9.05,15.93,14.85,10.14,24.99,108.63,75.05,33.58
19,UCLA,Pac-12,17,27,10,69.7,61.7,8.05,16.92,12.63,12.35,24.97,106.91,72.82,34.09
20,NC State,ACC,,20,12,70.8,62.6,8.25,16.71,14.38,10.57,24.96,106.56,73.03,33.53
21,Villanova,Big East,10,30,7,70.8,58.7,12.11,12.53,11.87,12.77,24.64,110.27,75.36,34.91
22,North Carolina,ACC,19,22,11,68.9,59.8,9.12,15.32,11.84,12.6,24.44,102.31,69.69,32.62
23,Colorado,Pac-12,20,25,9,69.2,59.3,9.88,14.54,11.08,13.34,24.42,104.88,71.1,33.78
24,Michigan,Big Ten,18,23,10,73.5,63.4,10.12,13.79,13.11,10.8,23.91,106.84,75.42,31.41
25,Mississippi,SEC,,25,9,68.6,56.7,11.91,11.99,8.97,14.93,23.9,100.92,68.52,32.4
26,Arizona,Pac-12,24,22,10,74.1,65.1,8.97,14.92,14.81,9.09,23.89,106.01,74.77,31.25
27,Kansas,Big 12,,24,11,72.7,62.5,10.26,12.9,13.12,10.03,23.15,105.19,73.82,31.38
28,Creighton,Big East,,22,9,71,61.8,9.13,13.98,12.33,10.79,23.11,111.2,78.89,32.31
29,Baylor,Big 12,,20,13,71.8,63.5,8.24,14.79,12.58,10.46,23.04,102.69,71.98,30.71
30,Mississippi State,SEC,,22,11,71.1,59,12.03,10.6,10.81,11.82,22.63,101.37,72.11,29.26
31,Georgia,SEC,,22,12,67.1,58.7,8.32,13.93,7.57,14.68,22.25,99.56,69.68,29.87
32,Southern California,Pac-12,,21,10,64.2,55.1,9.16,13.07,5.46,16.78,22.23,97.14,66.92,30.22
33,Oklahoma,Big 12,14,26,7,84.2,75.4,8.73,13.21,24.91,-2.98,21.94,111.2,82.97,28.24
34,Michigan State,Big Ten,,16,14,78.2,67.1,11.1,10.61,16.44,5.26,21.71,104.51,77.11,27.4
35,Washington State,Pac-12,22,23,11,67,61.3,5.74,15.75,8.78,12.71,21.49,103.38,74.49,28.89
36,Alabama,SEC,,19,11,69.4,60.4,9,11.74,11.59,9.8,21.39,102.03,74.38,27.65
37,Nebraska,Big Ten,,18,15,71.2,65.3,5.97,14.7,11.06,9.62,20.67,101.89,74.61,27.29
38,Oklahoma State,Big 12,,21,12,75.3,68.2,7.09,13.56,15.44,5.22,20.65,107.85,81.09,26.76
39,Miami (FL),ACC,,22,13,69.6,63.6,6,14.27,11.04,9.22,20.27,102.87,76.36,26.51
40,Arkansas,SEC,,24,13,72.2,65.6,6.57,13.22,12.73,7.06,19.78,100.94,74.89,26.05
41,Illinois,Big Ten,,22,10,75.3,65.2,10.09,9.53,12.97,6.66,19.63,107.94,82.58,25.36
42,South Dakota State,Summit,,29,6,78.3,60.6,17.77,1.66,12.05,7.38,19.44,105.02,78.5,26.53
43,Purdue,Big Ten,,19,11,70.5,65.2,5.27,14.07,9.15,10.18,19.33,102.07,77.18,24.89
44,Marquette,Big East,,21,11,65,58.2,6.78,12.35,6.8,12.33,19.13,97.54,71.69,25.85
